modele,ROC_AUC_train,ROC_AUC_test,PR_AUC_test,lift@1%_test,lift@5%_test,lift@10%_test,lift@20%_test
LogReg,0.828839487220242,0.8269411990023731,0.11189730850325308,26.98752823723249,9.950740755907802,6.029851861042638,3.5470625473584905
Scorecard WoE,0.8484253255703953,0.8289540074211913,0.12002964803837377,26.39330743200902,10.257679027980581,6.188271614370524,3.5841916040300728
RandomForest,0.9327479599934806,0.8354743243962994,0.18089324111622568,30.651889869443874,11.099283967534973,6.465506182694323,3.6708260695970982
HistGradientBoosting,0.9061485295255578,0.8308905544945614,0.21853233809060957,36.742653122984414,11.336913597526799,6.4358024789453445,3.5965679562539337
