pct_cible,nb_dossiers,fraudes_captees,precision,rappel,lift
0.5%,1619,380,0.2347,0.1881,37.6
1.0%,3239,533,0.1646,0.2639,26.4
2.0%,6479,724,0.1117,0.3584,17.9
5.0%,16199,1036,0.064,0.5129,10.3
10.0%,32398,1250,0.0386,0.6188,6.2
20.0%,64797,1448,0.0223,0.7168,3.6
