pct_cible,nb_dossiers,fraudes_captees,precision,rappel,lift
0.5%,1619,373,0.2304,0.1847,37.0
1.0%,3239,545,0.1683,0.2698,27.0
2.0%,6479,725,0.1119,0.3589,17.9
5.0%,16199,1005,0.062,0.4975,10.0
10.0%,32398,1218,0.0376,0.603,6.0
20.0%,64797,1433,0.0221,0.7094,3.5
