pct_cible,nb_dossiers,fraudes_captees,precision,rappel,lift
0.5%,1619,454,0.2804,0.2248,45.0
1.0%,3239,619,0.1911,0.3064,30.7
2.0%,6479,841,0.1298,0.4163,20.8
5.0%,16199,1121,0.0692,0.555,11.1
10.0%,32398,1306,0.0403,0.6465,6.5
20.0%,64797,1483,0.0229,0.7342,3.7
